mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,238,72,11,13:00:00,22,7,242,11147
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,156,62,11,14:00:00,14,6,208,11148
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,180,52,11,15:00:00,16,5,177,11149
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Babcock Street,place-babck,171,65,11,16:00:00,16,6,168,11150
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,284,13,10,11:00:00,28,1,87,11151
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,260,20,10,12:00:00,26,2,99,11152
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,272,15,10,13:00:00,27,1,89,11153
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,246,15,10,14:00:00,25,2,95,11154
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,257,17,10,15:00:00,26,2,92,11155
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,215,22,10,16:00:00,22,2,76,11156
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,234,39,10,17:00:00,23,4,85,11157
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,187,27,10,18:00:00,19,3,73,11158
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,189,21,10,19:00:00,19,2,62,11159
Light Rail,Fall 2024,Green,Green Line,EB,day_type_02,Saturday,Washington Square,place-bcnwa,162,11,10,20:00:00,16,1,39,11160
