stop_name,hr_pm,direction,avg_total_ons,avg_total_offs,avg_passenger_flow,delay_minutes
Haymarket,7,NB,2343.6666666666665,4535.333333333333,1054.3333333333333,4.251388888888889
Haymarket,7,SB,3883.0,1295.6666666666667,754.6666666666666,6.081944444444445
Haymarket,8,NB,1914.0,2997.0,752.0,2.5347222222222223
Haymarket,8,SB,3133.3333333333335,804.6666666666666,564.0,6.442424242424243
Haymarket,9,NB,1959.0,2613.0,679.6666666666666,-0.215
Haymarket,9,SB,2973.6666666666665,684.3333333333334,553.0,3.5083333333333337
Haymarket,10,NB,1712.6666666666667,2071.0,609.3333333333334,-4.006060606060606
Haymarket,10,SB,2511.0,572.3333333333334,603.3333333333334,1.662962962962963
Haymarket,11,NB,1348.0,1545.6666666666667,483.6666666666667,-4.953703703703704
Haymarket,11,SB,1782.3333333333333,363.6666666666667,390.3333333333333,1.685
Jackson Square,2,NB,6075.0,1054.6666666666667,772.6666666666666,-4.2
Jackson Square,2,SB,755.0,5576.333333333333,534.0,-0.7833333333333333
Jackson Square,3,NB,6608.0,1034.6666666666667,752.3333333333334,-3.4375
Jackson Square,3,SB,968.3333333333334,6687.0,646.0,-0.12916666666666668
Jackson Square,4,NB,7057.666666666667,1135.0,726.3333333333334,-3.6180555555555554
Jackson Square,4,SB,984.0,7808.0,752.3333333333334,1.1388888888888888
Jackson Square,5,NB,5839.666666666667,953.3333333333334,669.0,-1.9055555555555557
Jackson Square,5,SB,886.6666666666666,8498.0,910.0,1.491025641025641
Jackson Square,6,NB,4338.666666666667,724.6666666666666,545.3333333333334,-1.7525641025641023
Jackson Square,6,SB,790.6666666666666,6874.333333333333,747.0,3.295833333333333
Jackson Square,7,NB,2679.6666666666665,560.0,378.3333333333333,0.6666666666666666
Jackson Square,7,SB,479.3333333333333,5316.666666666667,556.3333333333334,5.877777777777777
Jackson Square,8,NB,1818.6666666666667,375.6666666666667,234.66666666666666,2.2636363636363637
Jackson Square,8,SB,370.3333333333333,4290.333333333333,459.6666666666667,6.033333333333334
Jackson Square,9,NB,1666.0,350.3333333333333,218.33333333333334,-2.753030303030303
Jackson Square,9,SB,257.3333333333333,4077.6666666666665,409.3333333333333,2.421666666666667
Jackson Square,10,NB,1415.0,246.0,185.33333333333334,-4.823333333333333
Jackson Square,10,SB,217.0,3935.6666666666665,395.0,1.1833333333333331
Jackson Square,11,NB,739.3333333333334,149.0,115.66666666666667,-5.590740740740741
Jackson Square,11,SB,125.33333333333333,3141.3333333333335,338.3333333333333,1.135
Malden Center,2,SB,10531.333333333334,148.0,501.0,2.8833333333333333
Malden Center,3,NB,152.33333333333334,13558.0,211.33333333333334,-4.233333333333333
Malden Center,3,SB,9462.333333333334,135.0,456.3333333333333,1.9708333333333334
Malden Center,4,NB,196.33333333333334,19208.666666666668,327.6666666666667,-3.334722222222222
Malden Center,4,SB,8619.666666666666,154.33333333333334,401.0,2.225
Malden Center,5,NB,255.66666666666666,26519.0,458.6666666666667,-2.2513888888888887
Malden Center,5,SB,7601.333333333333,187.66666666666666,357.0,2.5027777777777778
Malden Center,6,NB,219.33333333333334,19605.0,334.3333333333333,2.5807692307692305
Malden Center,6,SB,5893.0,201.66666666666666,321.6666666666667,5.7525641025641026
Malden Center,7,NB,194.33333333333334,14596.666666666666,252.33333333333334,4.827777777777778
Malden Center,7,SB,3268.3333333333335,121.66666666666667,194.0,6.731944444444444
Malden Center,8,NB,141.33333333333334,10664.0,181.0,2.6902777777777778
Malden Center,8,SB,2512.6666666666665,64.66666666666667,125.0,5.295
Malden Center,9,NB,139.66666666666666,9622.333333333334,166.33333333333334,0.503030303030303
Malden Center,9,SB,2525.3333333333335,71.33333333333333,118.33333333333333,3.655
Malden Center,10,NB,113.33333333333333,9740.666666666666,196.33333333333334,-4.746666666666667
Malden Center,10,SB,1965.6666666666667,85.66666666666667,90.33333333333333,2.6222222222222222
Malden Center,11,NB,56.666666666666664,7437.0,170.33333333333334,-6.086666666666667
Malden Center,11,SB,966.3333333333334,50.0,46.666666666666664,2.0033333333333334
Massachusetts Avenue,2,NB,3853.0,2638.0,1262.6666666666667,-3.75
Massachusetts Avenue,2,SB,1984.0,3755.3333333333335,801.6666666666666,0.5166666666666667
Massachusetts Avenue,3,NB,5292.666666666667,2592.0,1263.0,-3.665277777777778
Massachusetts Avenue,3,SB,2790.0,4475.0,1001.3333333333334,1.5499999999999998
Massachusetts Avenue,4,NB,6089.333333333333,2586.6666666666665,1282.0,-3.829166666666667
Massachusetts Avenue,4,SB,3487.6666666666665,4892.666666666667,1135.0,2.227777777777778
Massachusetts Avenue,5,NB,6150.666666666667,2496.0,1178.0,-2.136111111111111
Massachusetts Avenue,5,SB,3987.0,5885.0,1272.6666666666667,2.880555555555555
Massachusetts Avenue,6,NB,4358.333333333333,2050.0,886.6666666666666,-1.5888888888888888
Massachusetts Avenue,6,SB,3174.3333333333335,4698.0,1107.3333333333333,5.816666666666666
Massachusetts Avenue,7,NB,2956.6666666666665,1585.0,648.6666666666666,0.791025641025641
Massachusetts Avenue,7,SB,2411.0,3325.6666666666665,825.3333333333334,7.32361111111111
Massachusetts Avenue,8,NB,2109.0,953.3333333333334,436.0,1.988888888888889
Massachusetts Avenue,8,SB,1958.6666666666667,2325.6666666666665,688.3333333333334,7.115151515151515
Massachusetts Avenue,9,NB,2301.6666666666665,806.6666666666666,390.6666666666667,-3.035
Massachusetts Avenue,9,SB,1951.6666666666667,2078.6666666666665,627.0,4.388333333333334
Massachusetts Avenue,10,NB,2308.6666666666665,654.3333333333334,349.0,-4.963333333333333
Massachusetts Avenue,10,SB,1954.6666666666667,1739.3333333333333,614.0,2.9283333333333332
Massachusetts Avenue,11,NB,1534.6666666666667,440.6666666666667,223.33333333333334,-6.033333333333334
Massachusetts Avenue,11,SB,1318.6666666666667,1324.3333333333333,535.0,2.5683333333333334
North Station,2,SB,6413.666666666667,6210.666666666667,1223.0,0.4666666666666667
North Station,3,NB,8636.0,9606.0,1343.6666666666667,-3.2576923076923077
North Station,3,SB,8985.666666666666,6608.0,1250.0,0.5875
North Station,4,NB,12377.666666666666,13385.666666666666,1683.0,-3.891666666666667
North Station,4,SB,10988.0,7517.0,1269.0,0.6291666666666667
